   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
     0       0         0         0         0         0         -         0
     1      16      3517      3501   109.377   109.406  0.0096850.00454447
     2      16      7007      6991    109.21   109.062  0.0026910.00456253
     3      16     10501     10485   109.198   109.188  0.0028520.00456844
     4      16     13952     13936   108.856   107.844  0.0054010.00458556
     5      16     17455     17439   108.976   109.469  0.0050920.00458161
     6      16     20644     20628   107.421   99.6562  0.0057380.00464901
     7      16     24174     24158   107.832   110.312  0.0040890.00463155
     8      16     27516     27500   107.406   104.438   0.003680.00465076
     9      15     30972     30957   107.474   108.031  0.003152 0.0046482
    10      16     34484     34468   107.697   109.719  0.0018260.00463879
    11      16     37917     37901   107.658   107.281  0.0074170.00464044
    12      16     41400     41384   107.756   108.844  0.0035440.00463646
    13      16     44909     44893   107.901   109.656  0.006765 0.0046306
    14      16     48359     48343   107.894   107.812  0.0020860.00463089
    15      15     51811     51796   107.894   107.906  0.0024220.00463105
    16      16     55267     55251   107.898   107.969  0.0073640.00463121
    17      16     58639     58623   107.748   105.375  0.0023090.00463713
    18      15     62111     62096   107.791   108.531  0.0026610.00463553
    19      16     65611     65595   107.872   109.344  0.0052480.00463236
2014-11-25 14:26:14.336428min lat: 0.001465 max lat: 0.098925 avg lat: 0.00462968
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
    20      15     69104     69089   107.937   109.188  0.0081810.00462968
    21      16     72583     72567   107.972   108.688   0.002770.00462821
    22      16     76091     76075   108.047   109.625  0.0033270.00462495
    23      15     79603     79588   108.122   109.781  0.0029110.00462173
    24      16     83109     83093    108.18   109.531  0.0031250.00461934
    25      16     86520     86504   108.116   106.594  0.0083110.00462231
    26      16     89928     89912   108.053     106.5  0.0071520.00462498
    27      16     93387     93371   108.054   108.094  0.0032420.00462495
    28      16     96833     96817    108.04   107.688  0.0031640.00462562
    29      16    100309    100293    108.06   108.625  0.0019160.00462488
    30      16    103728    103712   108.019   106.844  0.0047410.00462653
    31      16    107250    107234   108.085   110.062  0.0042920.00462378
    32      15    110731    110716   108.107   108.812  0.0019690.00462284
    33      16    114212    114196   108.126    108.75  0.0080780.00462211
    34      16    117726    117710   108.175   109.812  0.0116750.00461982
    35      16    121208    121192   108.193   108.812  0.0035230.00461926
    36      16    124652    124636   108.177   107.625  0.007741   0.00462
    37      16    128187    128171   108.238   110.469  0.0047640.00461737
    38      16    131699    131683   108.278    109.75  0.0020450.00461573
    39      15    135137    135122   108.257   107.469  0.0020220.00461669
2014-11-25 14:26:34.338978min lat: 0.001465 max lat: 0.098925 avg lat: 0.00461545
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
    40      16    138639    138623   108.285   109.406  0.0025120.00461545
    41      16    142136    142120   108.309   109.281  0.0042550.00461445
 Total time run:        41.390277
Total reads made:     143465
Read size:            32768
Bandwidth (MB/sec):    108.317 

Average Latency:       0.00461432
Max latency:           0.098925
Min latency:           0.001465
