 Maintaining 16 concurrent writes of 524288 bytes for up to 300 seconds or 0 objects
 Object prefix: benchmark_data_c26ec1c5d7b4_19924
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
     0       0         0         0         0         0         -         0
     1      16       140       124   61.9831        62  0.200861   0.11838
     2      16       275       259   64.7367      67.5  0.176607  0.118662
     3      16       406       390   64.9884      65.5  0.213893  0.119145
     4      16       534       518   64.7394        64  0.230782  0.120486
     5      16       668       652   65.1899        67  0.035513  0.120306
     6      16       811       795     66.24      71.5  0.176731  0.119375
     7      16       871       855   61.0624        30  0.131173  0.129792
     8      16       942       926   57.8668      35.5  0.769322    0.1281
     9      16       946       930   51.6594         2   1.47522  0.132318
    10      16       951       935   46.7435       2.5   2.53923  0.143312
    11      16       951       935   42.4942         0         -  0.143312
    12      16       968       952   39.6615      4.25   2.75346  0.186611
    13      16       979       963   37.0336       5.5  0.965076  0.197607
    14      16      1074      1058   37.7809      47.5  0.132012  0.210272
    15      16      1169      1153   38.4284      47.5  0.119061  0.206194
    16      16      1282      1266   39.5575      56.5  0.224758   0.20092
    17      16      1406      1390   40.8772        62  0.061521   0.19491
    18      16      1515      1499   41.6336      54.5  0.096973  0.191395
    19      16      1622      1606   42.2578      53.5  0.249766  0.188082
2014-11-23 16:06:33.380253min lat: 0.020254 max lat: 4.02313 avg lat: 0.189682
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
    20      16      1665      1649   41.2198      21.5  0.811059  0.189682
    21      16      1684      1668   39.7093       9.5  0.540529  0.196633
    22      16      1701      1685   38.2906       8.5  0.639184  0.203782
    23      16      1719      1703   37.0171         9  0.224876   0.20933
    24      16      1739      1723   35.8913        10  0.364115  0.216417
    25      16      1755      1739   34.7757         8   1.43586  0.223804
    26      16      1773      1757   33.7843         9    1.6922  0.231302
    27      16      1778      1762   32.6256       2.5   1.04032   0.23339
    28      16      1780      1764   31.4961         1    2.1318  0.235606
    29      16      1908      1892   32.6167        64  0.025146  0.244246
    30      16      2044      2028   33.7958        68  0.173397  0.236047
    31      16      2177      2161   34.8505      66.5  0.036175  0.228837
    32      16      2303      2287     35.73        63  0.213203  0.223161
    33      16      2373      2357   35.7077        35  0.212573  0.220252
    34      16      2454      2438   35.8485      40.5  0.182306  0.219608
    35      16      2454      2438   34.8243         0         -  0.219608
    36      16      2454      2438    33.857         0         -  0.219608
    37      16      2459      2443   33.0095  0.833333   3.61254  0.226416
