   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
     0       0         0         0         0         0         -         0
     1      16      1276      1260   78.7286     78.75  0.016022 0.0126108
     2      16      3037      3021   94.3865   110.062  0.004005 0.0105542
     3      16      4790      4774   99.4404   109.562  0.013538   0.01003
     4      16      6555      6539   102.155   110.312  0.0155980.00977001
     5      16      8324      8308   103.834   110.562  0.0159730.00961465
     6      16      9859      9843   102.516   95.9375  0.0017470.00951243
     7      16     11353     11337   101.208    93.375  0.0027720.00986817
     8      16     13126     13110   102.407   110.812  0.0141990.00975487
     9      15     14881     14866   103.222    109.75   0.018750.00967882
    10      16     16648     16632   103.936   110.375  0.0052490.00961372
    11      16     18422     18406   104.565   110.875  0.0031030.00955567
    12      16     20062     20046   104.392     102.5  0.0133080.00957273
    13      16     21828     21812   104.851   110.375  0.0089090.00953086
    14      16     23597     23581   105.258   110.562  0.003927 0.0094941
    15      16     25345     25329   105.523    109.25  0.0159430.00947048
    16      16     27107     27091    105.81   110.125  0.0165810.00944532
    17      16     28869     28853   106.063   110.125  0.0027680.00942284
    18      16     30603     30587   106.191   108.375  0.0180520.00941203
    19       8     31730     31722   104.335   70.9375  0.0245730.00939989
2014-11-24 22:07:33.602674min lat: 0.001743 max lat: 0.322168 avg lat: 0.00939989
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
    20       8     31730     31722   99.1182         0         -0.00939989
 Total time run:        20.278996
Total reads made:     31730
Read size:            65536
Bandwidth (MB/sec):    97.792 

Average Latency:       0.00981189
Max latency:           1.64749
Min latency:           0.001743
