 Maintaining 16 concurrent writes of 262144 bytes for up to 300 seconds or 0 objects
 Object prefix: benchmark_data_6cd5e455ac71_13547
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
     0       0         0         0         0         0         -         0
     1      16       329       313   78.2294     78.25   0.01827 0.0488648
     2      16       666       650   81.2336     84.25  0.063364 0.0484325
     3      16       791       775    64.572     31.25  0.011705 0.0477902
     4      16       828       812   50.7418      9.25  0.015457 0.0695989
     5      16       884       868   43.3933        14  0.030658 0.0872659
     6      16       884       868   36.1613         0         - 0.0872659
     7      15      1095      1080   38.5659      26.5  0.029161  0.103129
     8      16      1338      1322   41.3067      60.5   0.04155 0.0965694
     9      16      1660      1644   45.6603      80.5  0.019721 0.0872138
    10      16      1988      1972   49.2932        82  0.127755  0.080831
    11      16      2320      2304   52.3565        83  0.019228 0.0761068
    12      16      2651      2635   54.8885     82.75  0.086749 0.0726616
    13      16      2779      2763   53.1275        32  0.102869 0.0715777
    14      16      2788      2772   49.4936      2.25  0.011663 0.0737285
    15      16      2808      2792   46.5274         5  0.815668   0.08168
    16      16      2827      2811   43.9163      4.75    1.6268  0.085104
    17      16      2849      2833   41.6565       5.5  0.010989 0.0898617
    18      16      2881      2865   39.7867         8  0.011161 0.0963531
    19      16      2882      2866   37.7059      0.25   1.56724 0.0968663
2014-11-25 01:05:45.311250min lat: 0.010896 max lat: 3.00594 avg lat: 0.1055
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
    20      16      2901      2885   36.0581      4.75  0.011701    0.1055
    21      16      2901      2885    34.341         0         -    0.1055
    22      16      2901      2885   32.7801         0         -    0.1055
    23      16      2904      2888   31.3875      0.25  0.015953  0.108472
    24      16      2990      2974   30.9755      21.5  0.032184  0.125757
    25      16      3242      3226   32.2562        63  0.011865  0.123332
    26      16      3302      3286   31.5924        15  0.064741   0.12645
    27      16      3457      3441   31.8573     38.75   0.01115  0.122958
    28      16      3457      3441   30.7196         0         -  0.122958
    29      16      3602      3586   30.9102    18.125  0.218959  0.128169
    30      16      3836      3820   31.8296      58.5  0.049361  0.125542
    31      16      4173      4157   33.5203     84.25  0.020137  0.119212
    32      16      4410      4394   34.3241     59.25  0.015351  0.115324
    33      16      4410      4394    33.284         0         -  0.115324
    34      16      4410      4394    32.305         0         -  0.115324
    35      16      4410      4394   31.3821         0         -  0.115324
    36      16      4491      4475   31.0728    5.0625  0.042421  0.128069
    37      16      4515      4499   30.3951         6  0.025096   0.13154
    38      16      4772      4756   31.2859     64.25  0.013007  0.127009
    39      16      4772      4756   30.4837         0         -  0.127009
2014-11-25 01:06:05.313446min lat: 0.010896 max lat: 5.72847 avg lat: 0.127117
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
