   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
     0       0         0         0         0         0         -         0
     1      16       458       442   110.463     110.5    0.0073  0.031041
     2      16       860       844   105.472     100.5  0.021977 0.0372482
     3      16      1307      1291    107.56    111.75  0.107727 0.0367809
     4      16      1754      1738   108.604    111.75   0.00853 0.0365697
     5      16      2202      2186    109.28       112  0.006998 0.0363851
     6      16      2428      2412   100.483      56.5  0.004541 0.0362812
     7      16      2428      2412   86.1288         0         - 0.0362812
     8      16      2672      2656   82.9869      30.5  0.065313 0.0480467
     9      16      3120      3104   86.2088       112  0.008777 0.0461939
    10      16      3568      3552   88.7865       112  0.046335 0.0449297
    11      16      4014      3998   90.8501     111.5  0.085826 0.0438902
    12      16      4464      4448   92.6531     112.5  0.110035 0.0430333
    13      16      4910      4894   94.1018     111.5  0.069565 0.0424044
    14      16      5358      5342   95.3793       112  0.020356 0.0418616
    15      16      5805      5789   96.4697    111.75  0.010203 0.0413655
    16      16      6251      6235   97.4083     111.5  0.026179 0.0409787
    17      16      6698      6682   98.2511    111.75  0.086103 0.0406514
    18      16      7145      7129   99.0003    111.75  0.015675 0.0403243
    19      16      7592      7576   99.6706    111.75  0.017964 0.0400571
2014-11-25 12:35:16.839175min lat: 0.004089 max lat: 2.49965 avg lat: 0.0398221
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
    20      16      8039      8023   100.274    111.75  0.008906 0.0398221
    21      16      8488      8472   100.843    112.25  0.013928 0.0395921
    22      16      8935      8919   101.339    111.75  0.016626 0.0394088
    23      16      9381      9365    101.78     111.5  0.006726 0.0392462
    24      16      9829      9813   102.205       112  0.078481 0.0390768
    25      16     10278     10262   102.606    112.25  0.011484 0.0389307
    26      16     10722     10706   102.929       111  0.014464 0.0387948
    27      16     11170     11154   103.264       112  0.009024 0.0386963
    28      16     11618     11602   103.576       112  0.082959 0.0385689
    29      16     12066     12050   103.866       112  0.015184 0.0384601
    30      16     12512     12496    104.12     111.5  0.013087 0.0383654
    31      16     12961     12945   104.382    112.25  0.025022 0.0382694
    32      16     13407     13391   104.604     111.5  0.079973 0.0382016
    33      16     13853     13837   104.812     111.5   0.08306 0.0381239
    34      16     14300     14284   105.016    111.75  0.008046 0.0380489
    35      16     14748     14732   105.215       112  0.036743 0.0379724
    36      16     15194     15178   105.389     111.5   0.00647 0.0379072
    37      16     15643     15627   105.574    112.25  0.094454 0.0378544
    38      16     16090     16074   105.736    111.75  0.012724 0.0377935
    39      16     16537     16521    105.89    111.75  0.009727 0.0377365
2014-11-25 12:35:36.841657min lat: 0.004089 max lat: 2.49965 avg lat: 0.0376758
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
    40      16     16986     16970   106.049    112.25  0.022652 0.0376758
    41      16     17430     17414   106.169       111  0.009005 0.0376507
    42      16     17878     17862   106.308       112  0.087234 0.0375995
 Total time run:        42.566980
Total reads made:     18114
Read size:            262144
Bandwidth (MB/sec):    106.385 

Average Latency:       0.0375947
Max latency:           2.49965
Min latency:           0.004089
