   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
     0       0         0         0         0         0         -         0
     1      16      1059      1043   16.2926   16.2969  0.032141 0.0149136
     2      15      2139      2124   16.5904   16.8906  0.009942 0.0150333
     3      16      2756      2740   14.2683     9.625  0.001154 0.0173319
     4      16      3412      3396   13.2635     10.25  0.055234 0.0187242
     5      16      3466      3450   10.7796   0.84375  0.241268  0.020373
     6      16      3683      3667   9.54813   3.39062  0.001248 0.0260424
     7      16      4699      4683   10.4517    15.875   0.00216 0.0238817
     8      15      7235      7220   14.0997   39.6406  0.003091 0.0177216
     9      16      9183      9167   15.9128   30.4219  0.001146 0.0156796
    10      16     10019     10003   15.6277   13.0625  0.001469 0.0159328
    11      16     10833     10817   15.3631   12.7188  0.068877  0.016236
    12      16     11554     11538   15.0215   11.2656  0.001149 0.0166283
    13      16     12652     12636   15.1856   17.1562  0.001294 0.0164377
    14      16     13571     13555   15.1264   14.3594  0.025565 0.0165106
    15      16     14998     14982   15.6043   22.2969  0.001499 0.0160033
    16      16     16921     16905   16.5067   30.0469  0.013228 0.0151303
    17      16     19091     19075     17.53   33.9062  0.018253 0.0142463
    18      16     21394     21378    18.555   35.9844  0.052861 0.0134448
    19      16     22838     22822   18.7658   22.5625  0.001258 0.0133119
2014-11-23 08:30:47.186079min lat: 0.001083 max lat: 1.07497 avg lat: 0.013414
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
    20      16     23846     23830   18.6149     15.75   0.02295  0.013414
    21      16     26125     26109   19.4239   35.6094  0.020603 0.0128505
    22      15     27282     27267   19.3634   18.0938  0.016846 0.0129071
    23      16     29748     29732   20.1959   38.5156  0.001956 0.0123701
    24      16     32447     32431   21.1113   42.1719  0.001309 0.0118257
    25      16     34807     34791   21.7417    36.875  0.008531 0.0114963
    26      16     36639     36623   22.0063    28.625  0.001539  0.011354
    27      16     39733     39717   22.9816   48.3438  0.001899 0.0108757
    28      16     43932     43916   24.5037   65.6094  0.002201 0.0102005
    29      16     48414     48398   26.0733   70.0312  0.0018760.00958613
    30      16     52993     52977   27.5888   71.5469  0.0016940.00905915
    31      15     57476     57461   28.9587   70.0625  0.005692 0.0086305
    32      16     61782     61766   30.1555   67.2656  0.0032290.00828822
    33      16     66124     66108   31.2973   67.8438  0.0028290.00798589
    34      16     70611     70595   32.4386   70.1094  0.0037830.00770478
    35      15     75123     75108   33.5263   70.5156  0.0015320.00745459
    36      16     79770     79754   34.6112   72.5938  0.0012450.00721985
    37      16     84220     84204   35.5548   69.5312  0.0055450.00702925
    38      16     88765     88749   36.4877   71.0156  0.0023990.00684955
    39      15     93201     93186   37.3296   69.3281  0.0028820.00669507
2014-11-23 08:31:07.188478min lat: 0.001083 max lat: 1.07497 avg lat: 0.00654191
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
    40      16     97828     97812   38.2032   72.2812  0.0053510.00654191
    41      16    102205    102189   38.9392   68.3906  0.0012440.00641704
    42      15    106573    106558   39.6373   68.2656  0.0025720.00630526
    43      15    110935    110920   40.3003   68.1562  0.002435 0.0062015
    44      15    115283    115268   40.9283   67.9375  0.0047530.00610617
    45      16    119920    119904   41.6283   72.4375  0.001808 0.0060036
    46      16    124405    124389   42.2465   70.0781  0.0065020.00591569
    47      16    128738    128722    42.788   67.7031  0.0038330.00584089
    48      15    133153    133138   43.3339        69  0.0017620.00576713
    49      15    137769    137754   43.9213    72.125  0.0055020.00569006
 Total time run:        49.088052
Total reads made:     138098
Read size:            16384
Bandwidth (MB/sec):    43.957 

Average Latency:       0.00568558
Max latency:           1.07497
Min latency:           0.001083
