 Maintaining 16 concurrent writes of 4194304 bytes for up to 300 seconds or 0 objects
 Object prefix: benchmark_data_aa3eaa203d62_2407
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
     0       0         0         0         0         0         -         0
     1      16        31        15   59.9851        60  0.982242  0.592404
     2      16        53        37   73.9853        88  0.633886   0.68025
     3      16        73        57   75.9868        80   1.52603  0.664851
     4      16        93        77    76.988        80  0.343837  0.671044
     5      16       113        97   77.5881        80   2.50278  0.674653
     6      16       134       118   78.6552        84  0.230228  0.673246
     7      16       155       139   79.4171        84  0.214428  0.690541
     8      16       176       160   79.9886        84  0.222234  0.710301
     9      16       195       179   79.5444        76  0.222533  0.720638
    10      16       217       201    80.389        88  0.261773  0.722272
    11      16       236       220    79.989        76  0.149435  0.736405
    12      16       255       239   79.6555        76  0.391295  0.749545
    13      16       273       257   79.0659        72   1.20089  0.766987
    14      16       294       278   79.4176        84   1.50045  0.773949
    15      16       313       297   79.1891        76   0.22783     0.771
    16      16       332       316   78.9893        76  0.173606  0.766679
    17      16       351       335    78.813        76  0.254969  0.770572
    18      16       369       353   78.4339        72   0.28273  0.762797
    19      16       383       367   77.2529        56  0.238817  0.796633
2014-11-25 19:00:42.356317min lat: 0.134335 max lat: 3.5002 avg lat: 0.788305
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
    20      16       413       397   79.3895       120  0.868417  0.788305
    21      16       437       421   80.1797        96  0.328024  0.770174
    22      16       460       444   80.7166        92  0.361576   0.75545
    23      16       479       463   80.5112        76  0.324342   0.75604
    24      16       498       482   80.3228        76   1.72732  0.778744
    25      16       524       508   81.2693       104  0.167862  0.770536
    26      16       543       527   81.0661        76  0.254075  0.764039
    27      16       564       548   81.1743        84   2.10094  0.767967
    28      16       586       570   81.4176        88   0.15787  0.766509
    29      16       607       591   81.5063        84   2.81415  0.765558
    30      16       627       611   81.4558        80    1.4243   0.77047
    31      16       647       631   81.4084        80  0.297898  0.761903
    32      16       668       652   81.4891        84   0.21013  0.760973
    33      16       690       674   81.6861        88   3.27522  0.759028
    34      16       709       693   81.5185        76  0.286361  0.771408
    35      16       731       715   81.7034        88  0.297264   0.76707
    36      16       755       739   82.1002        96  0.198009  0.766742
    37      16       774       758   81.9351        76   0.21369  0.764889
    38      16       795       779   81.9892        84  0.222698  0.761926
    39      16       813       797   81.7329        72   2.53868  0.767148
2014-11-25 19:01:02.358922min lat: 0.134335 max lat: 3.5002 avg lat: 0.766316
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
    40      16       833       817   81.6893        80  0.331818  0.766316
    41      16       859       843   82.2331       104  0.179548   0.76605
    42      16       878       862   82.0844        76   2.13909  0.766195
    43      16       900       884   82.2217        88  0.287605  0.769271
    44      16       920       904    82.171        80  0.188158  0.764754
    45      16       940       924   82.1225        80  0.397022   0.76768
    46      16       961       945    82.163        84  0.146544   0.76234
    47      16       979       963   81.9465        72  0.181856  0.765776
    48      16      1000       984   81.9891        84  0.133156  0.765438
    49      16      1017      1001   81.7034        68      1.28   0.76168
    50      16      1041      1025   81.9891        96   3.65551  0.759633
    51      16      1058      1042   81.7146        68  0.240131  0.761805
    52      16      1079      1063   81.7584        84  0.918319  0.771009
    53      16      1098      1082   81.6495        76   0.32927  0.769132
    54      16      1118      1102   81.6188        80   2.75122  0.772397
    55      16      1137      1121   81.5164        76   0.18122  0.774134
    56      16      1156      1140   81.4178        76  0.339707  0.773596
    57      16      1178      1162    81.533        88  0.391196  0.771193
    58      16      1199      1183   81.5754        84  0.240528   0.77335
    59      16      1221      1205   81.6841        88  0.337012  0.771816
2014-11-25 19:01:22.361602min lat: 0.133156 max lat: 4.09594 avg lat: 0.772526
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
    60      16      1244      1228   81.8558        92  0.276965  0.772526
    61      16      1265      1249   81.8907        84  0.148198  0.772578
    62      16      1285      1269   81.8601        80  0.188631  0.771778
    63      16      1305      1289   81.8304        80   2.35638   0.76965
    64      16      1321      1305   81.5517        64  0.341583  0.767739
    65      16      1346      1330   81.8353       100  0.301267  0.773229
    66      16      1366      1350   81.8073        80  0.489773  0.769517
    67      16      1388      1372   81.8996        88  0.367447  0.771196
    68      16      1409      1393   81.9303        84  0.156196  0.772522
    69      16      1429      1413   81.9022        80  0.481531   0.77004
    70      16      1449      1433   81.8749        80  0.205434  0.765575
    71      16      1469      1453   81.8483        80    3.6123  0.769595
    72      16      1489      1473   81.8225        80   0.21667   0.77388
    73      16      1510      1494   81.8522        84  0.774815  0.775759
    74      16      1529      1513   81.7731        76  0.303164  0.774842
    75      16      1552      1536   81.9093        92  0.249414  0.770832
    76      16      1573      1557   81.9366        84   1.02675  0.771627
    77      16      1590      1574   81.7555        68   2.71512  0.774303
    78      16      1610      1594   81.7328        80   2.08878  0.776646
    79      16      1627      1611   81.5588        68  0.437496  0.777054
2014-11-25 19:01:42.364227min lat: 0.13235 max lat: 4.09594 avg lat: 0.776578
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
    80      16      1652      1636   81.7892       100  0.223047  0.776578
    81      16      1672      1656    81.767        80   1.04629  0.776146
    82      16      1694      1678   81.8429        88  0.236015  0.774317
    83      16      1716      1700   81.9169        88  0.240639  0.774353
    84      16      1737      1721   81.9416        84      0.25  0.773437
    85      16      1760      1744   82.0598        92    2.8847  0.770738
    86      16      1781      1765   82.0822        84  0.360657  0.768609
    87      16      1800      1784   82.0121        76  0.828154  0.771414
    88      16      1822      1806     82.08        88  0.297164   0.77261
    89      16      1845      1829   82.1913        92  0.186865  0.770207
    90      16      1864      1848   82.1224        76  0.690538   0.77213
    91      16      1885      1869   82.1429        84  0.236839  0.770078
    92      16      1905      1889   82.1195        80  0.220066    0.7707
    93      16      1925      1909   82.0966        80  0.811255  0.773792
    94      16      1945      1929   82.0742        80  0.205215   0.77392
    95      16      1966      1950   82.0944        84  0.307022  0.774159
    96      16      1984      1968   81.9891        72   1.37515  0.774403
    97      16      2006      1990    82.051        88  0.314094  0.775233
    98      16      2029      2013   82.1524        92  0.329897   0.77596
